,version,variable,product_type,experiment,temporal_aggregation,period,ensemble_member,model,lat_resolution,lon_resolution
117,v2-0,wsdiETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,BCC-CSM2-MR,1.1120905585095784,1.125
118,v2-0,wsdiETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,BCC-CSM2-MR,1.1120905585095784,1.125
119,v2-0,wsdiETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,BCC-CSM2-MR,1.1120905585095784,1.125
120,v2-0,csdiETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
121,v2-0,csdiETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
122,v2-0,csdiETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
123,v2-0,csdiETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
124,v2-0,r95pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
125,v2-0,r95pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
126,v2-0,r95pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
127,v2-0,r95pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
128,v2-0,r99pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
129,v2-0,r99pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
130,v2-0,r99pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
